 sim_time real_time ratio_sim_real
503 180.855 1047.99 0.0609862
504 180.998 1050.0 0.0712937
505 181.121 1052.0 0.0614302
506 181.26 1054.0 0.0694441
507 181.397 1056.02 0.0681212
508 181.539 1058.02 0.0709507
509 181.668 1060.02 0.0643657
510 181.795 1062.03 0.0631478
511 181.942 1064.04 0.0732216
512 182.063 1066.05 0.0601143
513 182.2 1068.06 0.0684115
514 182.324 1070.06 0.061914
515 182.452 1072.06 0.0639401
516 182.59 1074.06 0.0689635
517 182.724 1076.07 0.0666722
518 182.834 1078.07 0.0549884
519 182.976 1080.08 0.0708079
520 183.092 1082.08 0.057916
521 183.21 1084.09 0.0587926
522 183.334 1086.1 0.0616747
523 183.435134 1088.1 0.0505091
524 183.564 1090.12 0.0638198
525 183.656 1092.44 0.0395893
526 183.796 1094.45 0.0698303
527 183.914 1096.45 0.0589809
528 184.034 1098.45 0.0598419
529 184.168 1100.45 0.0669727
530 184.291 1102.46 0.0614535
531 184.415 1104.47 0.0615938
532 184.552 1106.47 0.0684083
533 184.666 1108.48 0.0566527
534 184.791 1110.49 0.062296
535 184.918 1112.5 0.0631827
536 185.038 1114.51 0.0598456
537 185.162 1116.52 0.0616952
538 185.288134 1118.52 0.0630239
539 185.415 1120.52 0.0633577
540 185.551 1122.53 0.0676904
541 185.662 1124.53 0.0554582
542 185.792 1126.54 0.0646573
543 185.922 1128.56 0.0642741
544 186.014 1130.57 0.0458357
545 186.12 1132.57 0.052955
546 186.25 1134.57 0.0649376
547 186.374 1136.57 0.0619873
548 186.489 1138.58 0.0573266
549 186.620134 1140.59 0.0653145
550 186.74 1142.59 0.0598851
551 186.869 1144.59 0.0644621
552 187.0 1146.7 0.0620551
553 187.107134 1148.71 0.0534328
554 187.205 1150.72 0.0487307
555 187.344 1152.72 0.0692966
556 187.473 1154.73 0.0642062
557 187.594 1156.74 0.0601202
558 187.705 1158.74 0.055455
559 187.837 1160.75 0.0658659
560 187.964 1162.76 0.0632672
561 188.077 1164.76 0.0564398
562 188.194134 1166.76 0.0584308
563 188.327134 1168.77 0.0662824
564 188.462 1170.78 0.0671084
565 188.6 1172.78 0.0689274
566 188.721 1174.79 0.0601076
567 188.834 1176.8 0.0563277
568 188.919134 1178.81 0.0424146
569 189.006 1180.82 0.0432268
570 189.098 1182.82 0.0459156
571 189.2 1184.88 0.0495398
572 189.3 1186.88 0.0499595
573 189.408134 1188.9 0.0536483
574 189.514 1190.92 0.0524184
575 189.62 1192.94 0.0524029
576 189.718 1194.94 0.0489412
577 189.821 1196.94 0.0514595
578 189.919134 1198.95 0.0489412
579 190.005 1200.95 0.0429062
580 190.102 1202.95 0.0484669
581 190.21 1204.95 0.0539396
582 190.326 1206.96 0.0579378
583 190.435 1208.96 0.0543814
584 190.565134 1210.96 0.064965
585 190.653 1212.96 0.0439223
586 190.722 1214.97 0.0343716
587 190.82 1216.98 0.0488517
588 190.94 1218.98 0.0598512
589 191.06 1220.98 0.0599327
590 191.172 1222.99 0.0559036
591 191.29 1224.99 0.0589059
592 191.412 1226.99 0.060908
593 191.526 1229.0 0.0568949
594 191.642 1231.0 0.0579009
595 191.754 1233.01 0.0556907
596 191.894 1235.02 0.069641
597 192.002 1237.02 0.0539705
598 192.123 1239.04 0.060116
599 192.23 1241.04 0.0534833
600 192.358 1243.05 0.0635585
601 192.478134 1245.06 0.0597274
602 192.603 1247.07 0.0621752
603 192.722 1249.08 0.0592925
604 192.823 1251.08 0.0503605
605 192.932 1253.1 0.0540521
606 193.055134 1255.1 0.061566
607 193.166 1257.1 0.0553957
