#CELLSIZE=5.000000,DATACOL=-1,DATATYPE=pedestrianCount,IDXCOL=3,MAP_TYPE=ymfPlusDistStep,NODE_ID=18,SEP=;,SIM_BBOX=0;0;164.1;215.1,VERSION=0.4,XOFFSET=-692273.889474,XSIZE=164.100000,YOFFSET=-5337503.566101,YSIZE=215.100000
simtime;x;y;count;measured_t;received_t;source;selection;selectionRank;sourceHost;sourceEntry;hostEntry;rsd_id;own_cell
15;14;10;0;14.328004530503;14.729134;1221;ymfPlusDistStep;0.0111111;48.0966;6.25116;43.2309;-1;0
15;14;11;1;14.774;14.796134;18;ymfPlusDistStep;0.05;0;38.3568;38.3568;1;0
15;14;16;0;12.758004530503;14.729134;1221;ymfPlusDistStep;0.0111111;48.0966;3.27971;15.2611;-1;0
15;15;16;1;14.705;14.727134;18;ymfPlusDistStep;0.0111111;0;18.6733;18.6733;1;0
16;12;16;0;9.067799993475;15.914134;1294;ymfPlusDistStep;0.0111111;47.6716;5.27705;12.3014;-1;0
16;12;17;0;14.007799993475;15.914134;1294;ymfPlusDistStep;0.0111111;47.6716;32.2612;7.32503;-1;0
16;12;18;1;15.91;15.931134;18;ymfPlusDistStep;0.0125;0;2.44688;2.44688;1;0
16;13;8;0;13.927799993475;15.914134;1294;ymfPlusDistStep;0.0111111;47.6716;40.8554;52.4258;-1;0
16;13;9;2;15.927;15.949134;18;ymfPlusDistStep;0.0111111;0;47.4425;47.4425;1;0
16;13;10;0;13.747799993475;15.914134;1294;ymfPlusDistStep;0.0111111;47.6716;7.902;42.4632;-1;0
16;13;11;1;15.737799993475;15.914134;1294;ymfPlusDistStep;0.0111111;47.6716;10.5686;37.4894;-1;0
16;13;15;1;15.787799993475;15.914134;1294;ymfPlusDistStep;0.0111111;47.6716;30.2352;17.7421;-1;0
16;13;16;0;15.847799993475;15.914134;1294;ymfPlusDistStep;0.0111111;47.6716;35.1096;12.9272;-1;0
16;13;17;1;15.867799993475;15.914134;1294;ymfPlusDistStep;0.05;47.6716;40.0966;8.33335;-1;0
16;14;8;0;3.897799993475;15.914134;1294;ymfPlusDistStep;0.0111111;47.6716;3.95307;53.0495;-1;0
16;14;9;0;9.187799993475;15.914134;1294;ymfPlusDistStep;0.0111111;47.6716;31.9751;48.1309;-1;0
16;14;10;0;14.367799993475;15.914134;1294;ymfPlusDistStep;0.0111111;47.6716;6.25116;43.2309;-1;0
16;14;11;1;15.627799993475;15.914134;1294;ymfPlusDistStep;0.0125;47.6716;2.94175;38.3568;-1;0
16;14;16;0;12.797799993475;15.914134;1294;ymfPlusDistStep;0.0111111;47.6716;3.27971;15.2611;-1;0
16;15;16;0;15.187799993475;15.914134;1294;ymfPlusDistStep;0.0111111;47.6716;12.124;18.6733;-1;0
16;15;17;1;15.975;15.997134;18;ymfPlusDistStep;0.0142857;0;15.8437;15.8437;1;0
17;12;16;0;9.106077204453;16.897134;1003;ymfPlusDistStep;0.01;20.5637;5.27705;12.3014;-1;0
17;12;17;1;16.656077204453;16.897134;1003;ymfPlusDistStep;0.01;20.5637;10.4256;7.32503;-1;0
17;12;18;1;16.416077204453;16.897134;1003;ymfPlusDistStep;0.01;20.5637;44.535;2.44688;-1;0
17;13;8;0;13.966077204453;16.897134;1003;ymfPlusDistStep;0.01;20.5637;40.8554;52.4258;-1;0
17;13;9;2;16.926;16.948134;18;ymfPlusDistStep;0.01;0;47.4425;47.4425;1;0
17;13;10;0;13.786077204453;16.897134;1003;ymfPlusDistStep;0.01;20.5637;7.902;42.4632;-1;0
17;13;11;1;16.336077204453;16.897134;1003;ymfPlusDistStep;0.01;20.5637;2.93388;37.4894;-1;0
17;13;15;3;16.836077204453;16.897134;1003;ymfPlusDistStep;0.01;20.5637;3.14939;17.7421;-1;0
17;13;16;0;15.886077204453;16.897134;1003;ymfPlusDistStep;0.01;20.5637;35.1096;12.9272;-1;0
17;13;17;0;16.636077204453;16.897134;1003;ymfPlusDistStep;0.02;20.5637;9.64418;8.33335;-1;0
17;14;8;0;3.936077204453;16.897134;1003;ymfPlusDistStep;0.01;20.5637;3.95307;53.0495;-1;0
17;14;9;0;9.226077204453;16.897134;1003;ymfPlusDistStep;0.01;20.5637;31.9751;48.1309;-1;0
17;14;10;0;14.406077204453;16.897134;1003;ymfPlusDistStep;0.01;20.5637;6.25116;43.2309;-1;0
17;14;11;1;16.726077204453;16.897134;1003;ymfPlusDistStep;0.01;20.5637;21.4117;38.3568;-1;0
17;14;16;0;12.836077204453;16.897134;1003;ymfPlusDistStep;0.01;20.5637;3.27971;15.2611;-1;0
17;15;16;0;15.226077204453;16.897134;1003;ymfPlusDistStep;0.01;20.5637;12.124;18.6733;-1;0
17;15;17;1;16.939;16.960134;18;ymfPlusDistStep;0.0111111;0;15.8437;15.8437;1;0
18;12;16;0;9.121558157559;17.903134;1076;ymfPlusDistStep;0.01;8.25665;5.27705;12.3014;-1;0
18;12;17;1;17.921;17.943134;18;ymfPlusDistStep;0.01;0;7.32503;7.32503;1;0
18;12;18;1;17.461558157559;17.903134;1076;ymfPlusDistStep;0.01;8.25665;17.7457;2.44688;-1;0
18;13;8;0;13.981558157559;17.903134;1076;ymfPlusDistStep;0.01;8.25665;40.8554;52.4258;-1;0
18;13;9;1;17.899;17.921134;18;ymfPlusDistStep;0.01;0;47.4425;47.4425;1;0
18;13;10;1;17.899;17.921134;18;ymfPlusDistStep;0.01;0;42.4632;42.4632;1;0
18;13;11;1;17.689190026025;17.740134;562;ymfPlusDistStep;0.01;2.8766;36.4316;37.4894;-1;0
18;13;14;1;17.609190026025;17.740134;562;ymfPlusDistStep;0.025;2.8766;21.6622;22.6374;-1;0
18;13;15;2;17.811558157559;17.903134;1076;ymfPlusDistStep;0.01;8.25665;9.81539;17.7421;-1;0
18;13;16;0;15.901558157559;17.903134;1076;ymfPlusDistStep;0.01;8.25665;35.1096;12.9272;-1;0
18;13;17;0;16.651558157559;17.903134;1076;ymfPlusDistStep;0.0142857;8.25665;9.64418;8.33335;-1;0
18;14;8;0;3.951558157559;17.903134;1076;ymfPlusDistStep;0.01;8.25665;3.95307;53.0495;-1;0
18;14;9;0;9.241558157559;17.903134;1076;ymfPlusDistStep;0.01;8.25665;31.9751;48.1309;-1;0
