id,run_id,timeStep,corridorRecommended
0,0,2216,11
0,0,2221,21
0,0,2226,31
0,0,2231,11
0,0,2236,21
0,0,2241,31
0,0,2246,11
0,0,2251,21
0,0,2256,31
0,0,2261,11
0,0,2266,21
0,0,2271,31
0,0,2276,11
0,0,2281,21
0,0,2286,31
0,0,2291,11
0,0,2296,21
0,0,2301,31
0,0,2306,11
0,0,2311,21
0,0,2316,31
0,0,2321,11
0,0,2326,21
0,0,2331,31
0,0,2336,11
0,0,2341,21
0,0,2346,31
0,0,2351,11
0,0,2356,21
0,0,2361,31
0,0,2366,11
0,0,2371,21
0,0,2376,31
0,0,2381,11
0,0,2386,21
0,0,2391,31
0,0,2396,11
0,0,2401,21
0,0,2406,31
0,0,2411,11
0,0,2416,21
0,0,2421,31
0,0,2426,11
0,0,2431,21
0,0,2436,31
0,0,2441,11
0,0,2446,21
0,0,2451,31
0,0,2456,11
0,0,2461,21
0,0,2466,31
0,0,2471,11
0,0,2476,21
0,0,2481,31
0,0,2486,11
0,0,2491,21
0,0,2496,31
0,0,2501,11
0,0,2506,21
0,0,2511,31
0,0,2516,11
0,0,2521,21
0,0,2526,31
0,0,2531,11
0,0,2536,21
0,0,2541,31
0,0,2546,11
0,0,2551,21
0,0,2556,31
0,0,2561,11
0,0,2566,21
0,0,2571,31
0,0,2576,11
0,0,2581,21
0,0,2586,31
0,0,2591,11
0,0,2596,21
0,0,2601,31
0,0,2606,11
0,0,2611,21
0,0,2616,31
0,0,2621,11
0,0,2626,21
0,0,2631,31
0,0,2636,11
0,0,2641,21
0,0,2646,31
0,0,2651,11
0,0,2656,21
0,0,2661,31
0,0,2666,11
0,0,2671,21
0,0,2676,31
0,0,2681,11
0,0,2686,21
0,0,2691,31
0,0,2696,11
0,0,2701,21
0,0,2706,31
0,0,2711,11
0,0,2716,21
0,0,2721,31
0,0,2726,11
0,0,2731,21
0,0,2736,31
0,0,2741,11
0,0,2746,21
0,0,2751,31
0,0,2756,11
0,0,2761,21
0,0,2766,31
0,0,2771,11
0,0,2776,21
0,0,2781,31
0,0,2786,11
0,0,2791,21
0,0,2796,31
0,0,2801,11
0,0,2806,21
0,0,2811,31
0,0,2816,11
0,0,2821,21
0,0,2826,31
0,0,2831,11
0,0,2836,21
0,0,2841,31
0,0,2846,11
0,0,2851,21
0,0,2856,31
0,0,2861,11
0,0,2866,21
0,0,2871,31
0,0,2876,11
0,0,2881,21
0,0,2886,31
0,0,2891,11
0,0,2896,21
0,0,2901,31
0,0,2906,11
0,0,2911,21
0,0,2916,31
0,0,2921,11
0,0,2926,21
0,0,2931,31
0,0,2936,11
0,0,2941,21
0,0,2946,31
0,0,2951,11
0,0,2956,21
0,0,2961,31
0,0,2966,11
0,0,2971,21
0,0,2976,31
0,0,2981,11
0,0,2986,21
0,0,2991,31
0,0,2996,11
0,0,3001,21
0,0,3006,31
0,0,3011,11
0,0,3016,21
0,0,3021,31
0,0,3026,11
0,0,3031,21
0,0,3036,31
0,0,3041,11
0,0,3046,21
0,0,3051,31
0,0,3056,11
0,0,3061,21
0,0,3066,31
0,0,3071,11
0,0,3076,21
0,0,3081,31
0,0,3086,11
0,0,3091,21
0,0,3096,31
0,0,3101,11
0,0,3106,21
0,0,3111,31
0,0,3116,11
0,0,3121,21
0,0,3126,31
0,0,3131,11
0,0,3136,21
1,0,26,11
1,0,31,21
1,0,36,31
1,0,41,11
1,0,46,21
1,0,51,31
1,0,56,11
1,0,61,21
1,0,66,31
1,0,71,11
1,0,76,21
1,0,81,31
1,0,86,11
1,0,91,21
1,0,96,31
1,0,101,11
1,0,106,21
1,0,111,31
1,0,116,11
1,0,121,21
1,0,126,31
1,0,131,11
1,0,136,21
1,0,141,31
1,0,146,11
1,0,151,21
1,0,156,31
1,0,161,11
1,0,166,21
1,0,171,31
1,0,176,11
1,0,181,21
1,0,186,31
1,0,191,11
1,0,196,21
1,0,201,31
1,0,206,11
1,0,211,21
1,0,216,31
1,0,221,11
1,0,226,21
1,0,231,31
1,0,236,11
1,0,241,21
1,0,246,31
1,0,251,11
1,0,256,21
1,0,261,31
1,0,266,11
1,0,271,21
1,0,276,31
1,0,281,11
1,0,286,21
1,0,291,31
1,0,296,11
1,0,301,21
1,0,306,31
1,0,311,11
1,0,316,21
1,0,321,31
1,0,326,11
1,0,331,21
1,0,336,31
1,0,341,11
1,0,346,21
1,0,351,31
1,0,356,11
1,0,361,21
1,0,366,31
1,0,371,11
1,0,376,21
1,0,381,31
1,0,386,11
1,0,391,21
1,0,396,31
1,0,401,11
1,0,406,21
1,0,411,31
1,0,416,11
1,0,421,21
1,0,426,31
1,0,431,11
1,0,436,21
1,0,441,31
1,0,446,11
1,0,451,21
1,0,456,31
1,0,461,11
1,0,466,21
1,0,471,31
1,0,476,11
1,0,481,21
1,0,486,31
1,0,491,11
1,0,496,21
1,0,501,31
1,0,506,11
1,0,511,21
1,0,516,31
1,0,521,11
1,0,526,21
1,0,531,31
1,0,536,11
1,0,541,21
1,0,546,31
1,0,551,11
1,0,556,21
1,0,561,31
1,0,566,11
1,0,571,21
1,0,576,31
1,0,581,11
1,0,586,21
1,0,591,31
1,0,596,11
1,0,601,21
1,0,606,31
1,0,611,11
1,0,616,21
1,0,621,31
1,0,626,11
1,0,631,21
1,0,636,31
1,0,641,11
1,0,646,21
1,0,651,31
1,0,656,11
1,0,661,21
1,0,666,31
1,0,671,11
1,0,676,21
1,0,681,31
1,0,686,11
1,0,691,21
1,0,696,31
1,0,701,11
1,0,706,21
1,0,711,31
1,0,716,11
1,0,721,21
1,0,726,31
1,0,731,11
1,0,736,21
1,0,741,31
1,0,746,11
1,0,751,21
1,0,756,31
1,0,761,11
1,0,766,21
1,0,771,31
1,0,776,11
1,0,781,21
1,0,786,31
1,0,791,11
1,0,796,21
1,0,801,31
1,0,806,11
1,0,811,21
1,0,816,31
1,0,821,11
1,0,826,21
1,0,831,31
1,0,836,11
1,0,841,21
1,0,846,31
1,0,851,11
1,0,856,21
1,0,861,31
1,0,866,11
1,0,871,21
1,0,876,31
1,0,881,11
1,0,886,21
1,0,891,31
1,0,896,11
1,0,901,21
1,0,906,31
1,0,911,11
1,0,916,21
1,0,921,31
1,0,926,11
1,0,931,21
1,0,936,31
1,0,941,11
1,0,946,21
1,0,951,31
1,0,956,11
1,0,961,21
1,0,966,31
1,0,971,11
1,0,976,21
1,0,981,31
1,0,986,11
1,0,991,21
1,0,996,31
1,0,1001,11
1,0,1006,21
1,0,1011,31
1,0,1016,11
1,0,1021,21
1,0,1026,31
1,0,1031,11
1,0,1036,21
1,0,1041,31
1,0,1046,11
1,0,1051,21
1,0,1056,31
1,0,1061,11
1,0,1066,21
1,0,1071,31
1,0,1076,11
1,0,1081,21
1,0,1086,31
1,0,1091,11
1,0,1096,21
1,0,1101,31
1,0,1106,11
1,0,1111,21
1,0,1116,31
1,0,1121,11
1,0,1126,21
1,0,1131,31
1,0,1136,11
1,0,1141,21
1,0,1146,31
1,0,1151,11
1,0,1156,21
1,0,1161,31
1,0,1166,11
1,0,1171,21
1,0,1176,31
1,0,1181,11
1,0,1186,21
1,0,1191,31
1,0,1196,11
1,0,1201,21
1,0,1206,31
1,0,1211,11
1,0,1216,21
1,0,1221,31
1,0,1226,11
1,0,1231,21
1,0,1236,31
1,0,1241,11
1,0,1246,21
1,0,1251,31
1,0,1256,11
1,0,1261,21
1,0,1266,31
1,0,1271,11
1,0,1276,21
1,0,1281,31
1,0,1286,11
1,0,1291,21
